4,124,0.0005430456716666085
4,125,0.00041374551546899933
4,126,0.0003120133880231562
4,127,0.0002328925626832608
5,0,0
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,0
5,7,0
5,8,0
5,9,0
5,10,0
5,11,0
5,12,0
5,13,0
5,14,0
5,15,0
5,16,0
5,17,0
5,18,0
5,19,0
5,20,0
5,21,0
5,22,0
5,23,0
5,24,0
5,25,0
5,26,0
5,27,0
5,28,0
5,29,0
5,30,0
5,31,0
5,32,0
5,33,0
5,34,0
5,35,0
5,36,0
5,37,0
5,38,0
5,39,0
5,40,0
5,41,0
5,42,0
5,43,0
5,44,0
5,45,0
5,46,0
5,47,0
5,48,0
5,49,0
5,50,0
5,51,0
5,52,0
5,53,0
5,54,0
5,55,0
5,56,0
5,57,0
5,58,0
5,59,0
5,60,0
5,61,0
5,62,0
5,63,0
5,64,0
5,65,0
5,66,0
5,67,0
5,68,0
5,69,0.0002944208400421899
5,70,0.00039166476680700706
5,71,0.0005158657869528404
5,72,0.0006727117503986859
5,73,0.0008685313447877683
5,74,0.0011101984168051184
5,75,0.001404976459086762
5,76,0.0017602964197743112
5,77,0.0021834643453484738
5,78,0.002681299976039617
5,79,0.003259713151637578
5,80,0.003923231468043851
5,81,0.004674499598256026
5,82,0.005513777449221626
5,83,0.006438470146365191
5,84,0.007442726945362711
5,85,0.008517147819696093
5,86,0.00964863504101544
5,87,0.010820422158001242
5,88,0.012012304297711865
5,89,0.013201081940805704
5,90,0.014361215931263457
5,91,0.015465675514435853
5,92,0.016486944991839045
5,93,0.017398139649100253
5,94,0.01817416948508365
5,95,0.01879288131972549
5,96,0.019236107133206864
5,97,0.019490549567805222
5,98,0.019548444419555527
5,99,0.01940795407797385
5,100,0.019073264102399803
5,101,0.018554375872425963
5,102,0.017866609659016208
5,103,0.017029852598890158
5,104,0.01606760312191339
5,105,0.015005875916899959
5,106,0.01387203854830583
5,107,0.012693651954530842
5,108,0.011497382464744523
5,109,0.010308043408317197
5,110,0.009147811036586535
5,111,0.008035643787760621
5,112,0.006986917462630826
5,113,0.006013273131930571
5,114,0.005122660836801433
5,115,0.004319551314435423
5,116,0.0036052806353507817
5,117,0.0029784889329217096
5,118,0.002435614134642308
5,119,0.001971404274016858
5,120,0.0015794168823893555
5,121,0.001252480347347036
5,122,0.0009830991947089639
5,123,0.0007637922995426605
5,124,0.0005873594878478904
5,125,0.00044707744970140257
5,126,0.0003368301143099772
5,127,0.0002511815644142004
6,0,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,0
6,7,0
6,8,0
6,9,0
6,10,0
6,11,0
6,12,0
6,13,0
6,14,0
6,15,0
6,16,0
6,17,0
6,18,0
6,19,0
6,20,0
6,21,0
6,22,0
6,23,0
6,24,0
6,25,0
6,26,0
6,27,0
6,28,0
6,29,0
6,30,0
6,31,0
6,32,0
6,33,0
6,34,0
6,35,0
6,36,0
6,37,0
6,38,0
6,39,0
6,40,0
6,41,0
6,42,0
6,43,0
6,44,0
6,45,0
6,46,0
6,47,0
6,48,0
6,49,0
6,50,0
6,51,0
6,52,0
6,53,0
6,54,0
6,55,0
6,56,0
6,57,0
6,58,0
6,59,0
6,60,0
6,61,0
6,62,0
6,63,0
6,64,0
6,65,0
6,66,0
6,67,0
6,68,0
6,69,0.000349773888697919
6,70,0.0004639047684751497
6,71,0.0006092280990566805
6,72,0.0007921970306854097
6,73,0.001019956453825261
6,74,0.0013002249197465465
6,75,0.0016411089391917644
6,76,0.002050842737428127
6,77,0.0025374504909635087
6,78,0.003108333380955896
6,79,0.0037697903029525765
6,80,0.00452648842576594
6,81,0.005380907465755175
6,82,0.006332788846029614
6,83,0.0073786270364159705
6,84,0.008511244468421714
6,85,0.009719492687755479
6,86,0.010988120197754645
6,87,0.012297841373356324
6,88,0.013625630851657676
6,89,0.014945254308901739
6,90,0.016228030322354377
6,91,0.01744380029187053
6,92,0.018562065668557146
6,93,0.019553235681869386
6,94,0.02038991603766475
6,95,0.021048161143175058
6,96,0.021508610380826083
6,97,0.02175743334669946
6,98,0.021787019707349312
6,99,0.021596365675423265
6,100,0.021191129729747293
6,101,0.02058335331445996
6,102,0.0197908657752321
6,103,0.01883641461069686
6,104,0.017746580299761495
6,105,0.016550547969071405
6,106,0.015278814999957232
6,107,0.013961913992689609
6,108,0.012629224612476593
6,109,0.011307936628039285
6,110,0.01002221126814631
6,111,0.008792570494368664
6,112,0.0076355256373226415
6,113,0.006563439686018595
6,114,0.005584602713141369
6,115,0.00470348844745245
6,116,0.0039211524204296145
6,117,0.0032357285351574828
6,118,0.0026429810597761107
6,119,0.002136872357907975
6,120,0.00171011235563171
6,121,0.0013546629394976528
6,122,0.0010621783256440217
6,123,0.0008243701748786509
6,124,0.0006332932451317445
6,125,0.00048155324787625605
6,126,0.00036244307495540196
6,127,0.0002700166252769829
7,0,0
7,1,0
7,2,0
7,3,0
7,4,0
7,5,0
7,6,0
7,7,0
7,8,0
7,9,0
7,10,0
7,11,0
7,12,0
7,13,0
7,14,0
7,15,0
7,16,0
7,17,0
7,18,0
7,19,0
7,20,0
7,21,0
7,22,0
7,23,0
7,24,0
7,25,0
7,26,0
7,27,0
7,28,0
7,29,0
7,30,0
7,31,0
7,32,0
7,33,0
7,34,0
7,35,0
7,36,0
7,37,0
7,38,0
7,39,0
7,40,0
7,41,0
7,42,0
7,43,0
7,44,0
7,45,0
7,46,0
7,47,0
7,48,0
7,49,0
7,50,0
7,51,0
7,52,0
7,53,0
7,54,0
7,55,0
7,56,0
7,57,0
7,58,0
7,59,0
7,60,0
7,61,0
7,62,0
7,63,0
7,64,0
7,65,0
7,66,0
7,67,0
7,68,0
7,69,0.00041588832622959217
7,70,0.0005498806205489692
7,71,0.0007199522162948051
7,72,0.0009334129537190166
7,73,0.001198313975842329
7,74,0.0015233028262684881
7,75,0.001917402346663164
7,76,0.0023897065296148204
7,77,0.0029489911105960356
7,78,0.0036032427802168993
7,79,0.004359118245358547
7,80,0.0052213525485429535
7,81,0.006192144455897429
7,82,0.0072705545622250385
7,83,0.008451958139415303
7,84,0.0097275987426933
7,85,0.011084289332392286
7,86,0.012504304501292213
7,87,0.01396549995703871
7,88,0.015441683732286503
7,89,0.016903248176509594
7,90,0.018318053585424474
7,91,0.01965253472911425
7,92,0.02087298224301607
7,93,0.021946933694258028
7,94,0.02284459593290854
7,95,0.023540212633184676
7,96,0.02401328982258048
